,z
ARHGEF4,-0.9306749
COPZ2,-0.9306324
ELL,0.9301009
TIMM23,0.92970085
ZNF37BP,-0.9294335
GFRA2,0.92943335
STAU1,0.9293252
RRP1,0.9287919
VEGFB,0.92871755
BAAT,-0.92841285
LGALS4,0.9281276
SYNM,-0.92804337
OLFML2B,0.9279796
CDC42EP3,-0.9278586
PSMB5,0.92776126
CDH20,0.9273533
PPP1R7,-0.92716444
BAK1,0.92651236
SMARCB1,-0.92625654
GALNT10,0.9262353
SLC7A8,0.9262097
PRICKLE3,0.9255882
EML3,0.92540973
HSPA14,0.92540956
CSF1R,-0.9253175
SFRP4,0.92503166
PTCD2,0.92484426
KRT75,0.92482054
TARDBP,-0.9244561
LSM8,-0.92408586
LIMD2,0.92398393
CLCN6,0.92362386
STAC,-0.9231911
ZFX,-0.92314285
VPS16,-0.9228711
MUC1,-0.9228609
TBX19,-0.92276716
EPCAM,0.92240655
PDE5A,-0.92178094
MAGOH,-0.92160344
DMD,-0.9210317
RPL27,-0.9210138
EDN1,-0.92093873
CAP2,-0.92093533
TIMM13,0.920629
ASB9,-0.9205987
ZNF302,-0.9204782
OSBPL1A,-0.92035955
PLCB2,0.92005867
PNOC,0.92001206
KRT2,-0.9199047
IFNGR1,0.9198366
C11orf58,0.91977525
IFT20,-0.9192424
KCNJ12,-0.919092
PNRC1,-0.91901433
FAM168A,0.9187597
TNS2,-0.9184711
SRSF5,-0.91838515
E2F4,0.9181712
FAM134C,-0.9181625
MORC4,-0.91791147
ROBO3,-0.91787136
NXPE3,0.9178012
ZC2HC1A,-0.91756105
UNC93A,-0.9174783
PPL,-0.9172516
RCOR1,0.91715103
NIPSNAP1,-0.91706645
TBL1X,-0.91683704
PDIA4,-0.916693
URGCP,0.91662824
TRAPPC2,-0.91658306
CYP2C9,-0.9159835
EIF4A3,0.9155593
PNPO,-0.91547537
RBM6,0.9150988
GSPT1,0.9145433
LIF,-0.91424537
DMPK,-0.914036
UNC13B,0.9138392
SLC27A6,-0.9137729
NVL,-0.91367185
HNRNPDL,0.91359377
KCNC1,0.91352403
DPH2,-0.9135005
RNF13,0.9132203
COL18A1,0.91276574
CLEC4A,-0.9124847
CBLL1,0.9123043
TRIM52,-0.9119865
NGDN,-0.9119353
EDEM1,0.9119315
DHX38,-0.9117919
FAM124B,0.91177225
DPP8,0.91128534
SLC19A2,0.9112737
PVRL1,0.91119933
CACNB3,-0.911113
TEKT2,-0.9107122
EHF,-0.9106833
KIF1B,0.9097638
IL10RA,-0.9097514
FRMD4A,-0.90969175
PLEKHA5,-0.909373
EVI5,-0.9085884
ZNF586,0.9085702
WDR78,-0.9084967
PIAS4,-0.90839434
HLA-B,0.9073449
CEP170B,0.9063083
EPN3,0.9062855
NARFL,-0.9061891
CITED2,-0.90615845
FNDC4,0.90589714
ID1,0.90534794
ZFP36L1,-0.90528363
SPA17,-0.9052534
MAP2K5,-0.905094
ATP13A2,0.9048884
NIPSNAP3B,0.90488815
ELF2,0.9045621
MCM5,-0.9045194
PGF,0.90447795
ZNF148,0.9044086
PECR,-0.9042599
CAPNS1,-0.90398765
RCBTB2,0.90369856
HOXC11,-0.90341735
HPR,-0.9032857
FLG,-0.90316033
DBP,0.9028723
ADAT1,-0.9028516
UCP2,0.90270185
TM4SF5,0.90255255
MT2A,0.902467
EPOR,-0.9023207
PCOLCE2,-0.9021991
ENDOD1,0.90212274
LIG3,0.90187514
PLA2G5,0.9015518
HSPB7,0.90131474
APOL1,0.9013119
VGLL3,-0.9011207
NCOA1,-0.9010702
SF1,0.90106833
SETDB1,0.9007263
GPR137B,-0.90040874
ATP5SL,-0.900204
FCER1A,-0.8998951
ACAP2,0.8995477
TMEM50B,-0.8990707
NEK11,-0.89904267
PIN4,-0.8986206
LHPP,-0.89828134
TBX6,-0.8982799
SLC2A4RG,0.89820004
MTSS1,0.89794475
TTC38,-0.897773
TMEM147,-0.89763236
HSPA1L,-0.8969511
ZNF219,-0.89693415
DMTN,-0.89644396
CBS,0.8962393
FBXW11,-0.89623904
SNRPC,-0.896073
IBTK,-0.8960494
COLQ,0.8959371
RARS,0.8959302
SMC5,0.89589316
FZD5,0.8954189
TRPM2,-0.89540225
RNGTT,-0.89539886
JMJD6,0.89528185
ABCA5,-0.89524794
ZNF592,0.8950521
ITSN2,0.89499265
HNRNPF,-0.8949048
PSMC4,-0.89475507
GLYAT,-0.89457107
RAB28,0.8944823
TMEM104,0.8933505
TRIM9,-0.8928899
IFT88,-0.8927564
UAP1,0.89273804
SMARCE1,-0.8923357
CELF1,0.89216316
GMPR2,-0.89197797
SOX3,-0.8918714
CTLA4,-0.891557
FAHD2A,0.89134383
TPM1,-0.8912256
PAFAH1B1,-0.890221
ORC2,0.89013654
PSME4,0.8899074
CD58,-0.8896223
OPN3,-0.88934433
RARA,0.88912016
ITGB2,-0.8890476
CAMK1G,0.8889753
RRN3,-0.8885578
CCDC15,-0.888276
EPS8,0.8882315
EFHC1,-0.88806796
YY1AP1,0.888054
ZNHIT6,0.8877836
ZNF112,-0.8876315
ING3,0.8875341
FOSB,-0.887385
SH3D21,0.8864104
PRR7,0.8863817
GRIN2C,-0.885954
CAMK4,0.8858173
AP2A2,0.8855023
DDX3Y,-0.88546157
CYP26B1,0.88538635
RBL2,-0.88523555
FOXJ3,0.88488936
IL11,0.88471985
LIN7B,-0.8845045
YWHAQ,-0.8844726
SETD1A,0.88441044
TNFRSF9,-0.8843239
SSR3,-0.8841678
LRP3,-0.88412404
RNF103,0.88402927
PTTG1,-0.8838204
RABGAP1,0.8835385
ZC4H2,-0.88353443
ITGA9,0.88350594
ZBTB5,0.8835053
NT5DC3,0.8834603
EYA1,0.88342
SLC4A7,-0.8833384
STMN4,0.8827849
RAB38,0.88275594
TFPI,-0.8825854
ID4,-0.8824998
UCN,-0.8823693
UBL4A,0.88233423
HNRNPH1,-0.88232124
RNF4,0.8821298
CLDN8,-0.8820608
CDKAL1,-0.882057
GOLPH3L,0.8820231
ARHGAP10,-0.88193136
SAR1B,0.88173795
C1orf106,0.881724
LETMD1,-0.88148856
RANGAP1,-0.88136554
RIF1,0.8811759
ISLR,0.8810934
ZNF589,0.8809071
NCAPG,0.8802168
ATG4B,0.8801128
NAT9,0.87958235
SMARCA5,0.87957954
RMI1,0.8795655
NXF1,-0.87930006
TMEM53,-0.8792546
PAQR4,-0.8792351
POR,0.8788054
IDH1,0.87857485
ST18,-0.87845343
CNTLN,-0.878406
HAUS6,0.87832534
ZNF692,-0.8782954
AIP,-0.87752557
NAGA,-0.8772938
ELOVL5,-0.8771684
KLHL24,0.87695795
CELSR1,-0.8768845
TPP1,-0.8765347
PDZRN3,-0.87642556
NFKBIB,0.8762781
ANKRD36,0.8762271
FAM8A1,-0.8757058
ANP32B,0.8753927
UBE2G1,0.8753305
DHX16,-0.875291
PDPN,0.8751428
DIMT1,0.87513876
DYNLT1,0.8751339
RND2,0.8749842
SLC19A1,0.87492853
BRD9,0.87437314
PLS3,0.8741094
FUT1,-0.87385535
GPR107,0.8737406
NDUFB2,-0.87367165
MYDGF,-0.87355316
AKAP6,0.87353164
PTK2B,0.8733337
DUSP10,-0.8732301
IVNS1ABP,-0.87312186
SLC27A2,-0.8729291
THOC5,-0.8729198
H2AFV,-0.8725858
LHX2,-0.8725845
SDHB,0.8723838
UQCR11,-0.87189424
IRF5,0.8718587
TMEM14A,-0.87177384
IDH3G,0.87175924
DENND1A,0.87175643
ABCC10,-0.87169284
IK,-0.8712251
HNRNPK,0.8708769
CYP2J2,-0.8707322
S100A10,-0.87052226
PTBP1,0.8704109
MTMR4,-0.8703295
PARP2,0.87014484
CPPED1,-0.8699758
PUM1,0.8699361
ELK3,0.8698653
CYP51A1,0.8696207
CCDC69,0.8693149
HIST2H2AA3,-0.8692861
SH2D2A,0.86915857
ITGB3,-0.86910576
SLC6A1,-0.8690793
GLIPR1,-0.86895335
MT1F,0.86879164
STC2,-0.8684604
MED13,0.8682883
BAZ2B,0.8681732
FRMD4B,0.867936
BRCA2,0.8679112
USP25,0.86768574
UPB1,-0.86748767
PODXL2,-0.86743903
PLSCR3,0.86718345
CSDE1,0.86674666
TOLLIP,0.8665056
RBBP8,0.86639434
PSME2,-0.8662448
MGAT4B,0.86608326
FBRS,-0.86570305
FBXO2,0.86562026
TTLL12,0.8650621
CYCS,0.86457396
JAG2,0.86428297
TMEM9B,-0.86368835
ARHGEF3,0.86348003
IL36G,0.8632331
FAM53B,0.8631467
RPS13,-0.8630403
MGAT4A,-0.8630284
FASTKD3,0.8629477
ZNF354A,0.862572
DCLRE1A,0.8623793
VTN,-0.86227095
C2orf68,0.8622341
RBBP4,-0.86207706
LRP6,-0.8619727
LITAF,-0.8616669
RWDD2B,0.86146474
MARK2,0.8611127
COQ6,-0.8606576
GMCL1,-0.8604263
PRELID3A,0.8602677
MECOM,0.8596277
CDH4,0.8595411
NRN1,-0.8592967
MRPL28,-0.85925853
PHYH,-0.85910904
C1orf115,-0.858974
TMEM243,0.8589441
VAV3,-0.85869634
NTM,0.85856485
TM6SF1,0.8582972
MDH2,-0.8582878
TSKU,0.858227
HRC,0.8579832
SOX9,-0.857887
GTF2H4,-0.8574411
MXD1,0.8574148
TMEM106C,-0.85732704
PCIF1,0.85719866
CST6,-0.8566619
SVIL,0.8562268
CTDP1,-0.85607076
SERPINB6,-0.8560003
ERP29,-0.8559997
AZGP1P1,-0.8559592
DHTKD1,-0.8557133
POU2AF1,0.8554516
ETV5,-0.8553987
SGCE,-0.85530394
CDK17,0.8550447
CCNL1,-0.854998
MCTP2,0.8549854
MYD88,0.85496736
ARNT2,-0.854902
SKIV2L2,0.8547655
KIAA0556,-0.85469174
ZNF143,0.85460424
POLR3C,0.8543674
SEPT7,0.8543277
MANEA,0.8540965
EIF2B2,0.8540462
DCLRE1B,-0.85402155
ASCC3,0.8539701
ELAC2,0.85388994
IDH3B,-0.85372937
NENF,-0.853718
SEC13,-0.85321635
YWHAZ,-0.8531078
MCUR1,0.85269165
KNTC1,0.85268646
ZNF576,0.8526802
HPGD,-0.85221875
HSPA2,-0.85174155
TIPIN,0.85173935
AOAH,-0.8516275
CERK,-0.8510658
EPHA2,-0.8505027
ASS1,-0.8504546
MAK16,0.85015345
AKIP1,-0.8501458
DOPEY1,-0.84997904
HBB,-0.849614
VSIG10,-0.8494738
TCF4,0.849406
ZFYVE9,-0.84925973
DSTYK,-0.84918606
CDK14,-0.84916145
PIGH,0.8490357
KANK2,0.8489635
NUCKS1,0.8488764
DCAF16,-0.84885144
RBPJ,-0.8487463
PIGG,0.8486875
RNF11,-0.8485725
TMEM59,-0.84838617
MFAP1,0.84833604
SLC25A44,0.84824634
SLC36A1,0.8480156
STIL,0.8474835
AOC3,0.8472384
CAMSAP1,0.84695804
ZNF254,0.84666866
IARS2,0.8466171
NCOR2,0.84644914
CERS6,0.84640837
EFEMP1,-0.84611547
PEX5,0.846113
TSPYL5,0.8460761
GATA2,0.84555036
BMI1,-0.8454206
ASCC2,-0.8447472
LPAR2,0.8445943
GALE,0.8444865
REEP5,0.84400517
TTC37,0.84384716
VRK2,-0.8429654
PPP5C,0.8429144
ACVR1B,0.84270555
HOXA3,0.84265256
KRIT1,-0.8426169
PDGFRB,0.8424119
DLEC1,0.84235305
PARL,0.8419226
TPI1,-0.84170985
NGFRAP1,0.84169346
PTPN9,0.84160054
SHOX2,-0.84125245
NDN,0.84108627
ATP10B,0.8409157
ICT1,0.84087247
GALNS,-0.84053457
COPS8,0.8405168
BABAM1,-0.84040076
ZNHIT2,0.84036064
ADRB2,0.8401791
LY6D,0.84016526
DLGAP4,0.8399712
DNAJC13,-0.8394503
ASB7,0.8388287
SLC12A9,0.8382686
TTC1,-0.83792
FAM35A,0.83744764
WDR73,0.8374306
CNPPD1,-0.83736306
CD63,-0.8371998
WEE1,-0.8364204
CPNE7,0.8362307
CTNND1,-0.8360712
ZDHHC14,-0.8356909
TMEM8A,-0.8354082
ART3,-0.83519876
ZCCHC6,0.8351069
STON1,-0.8350736
RNF43,0.8349692
CALHM2,-0.83494663
SLC16A1,0.8342301
FBXO34,0.8338816
AHCYL1,0.8338546
PJA1,0.83382815
STX6,0.8337755
ARPC5L,0.8334149
NMT2,-0.83338076
DDX31,0.8327543
TBC1D1,0.83266807
SCFD1,0.8325842
SCO2,-0.83256805
WDR3,0.83252877
AHR,-0.83210397
NR2F6,0.83204204
GSTA3,-0.8318497
MFSD5,-0.83183694
SMCO4,0.83172643
VRK1,0.8316223
PRKDC,0.8314438
GALNT6,0.8312891
S100A12,-0.8311963
EDF1,-0.8309798
IRS2,-0.8309547
METAP1,0.8309543
PRKCDBP,-0.8307872
AGO1,0.83068085
GYS1,0.83050823
TP53I3,-0.8304795
STARD7,0.8304235
CRABP2,0.83037204
MED20,0.8297112
GPR135,0.82956934
APOE,0.82947695
HMGN2,-0.82936704
SLC7A6,0.8293061
MKNK1,0.8291998
LRRC47,-0.82897407
PBX2,0.8285811
ALG3,0.828491
PACSIN2,-0.8281183
TTC17,-0.8280854
PACSIN3,0.82781607
CILP,0.82756317
MLEC,-0.8271781
ZPR1,0.827129
SS18L2,0.8269467
TBC1D15,-0.8269433
PHTF2,-0.8269419
ATP6V0B,0.8267448
HSP90AA1,0.8264605
WDR43,0.82609797
DDHD2,0.8260255
MYBBP1A,0.82587147
GIGYF2,0.82573664
MARCH8,-0.8254598
SMAD6,-0.8254372
NXPH3,0.8247647
AATK,0.82451206
GNAI3,-0.8245117
VDR,-0.82448226
PLEKHG6,0.8243695
TDP1,0.823696
MBTD1,-0.8233276
NACA,-0.82328427
INHBB,-0.8232593
ADAM10,-0.82298225
TTC39A,-0.82284784
ZFPL1,-0.8226965
KRT14,0.8221443
RASIP1,0.8220203
PRR15L,-0.82189083
LOXL2,-0.82181716
MCM7,-0.82156295
RPS7,-0.82146084
BRD2,0.8213795
CRABP1,0.8213506
CRCT1,0.8211945
RALYL,-0.8209803
N4BP3,0.8203804
PLEKHF2,-0.8202824
AVEN,0.8200308
BBIP1,-0.81977504
ABCA1,-0.81966215
CFB,0.81961715
P2RY10,-0.81957376
NCAM1,0.8195609
SULT2B1,0.8193722
FAM134B,0.81917477
POFUT2,-0.81917095
DNAJC7,-0.8190065
ADAMTS1,-0.8189917
RPL17,-0.81862926
SIGIRR,-0.8180278
IGSF6,-0.81751853
TRAF4,0.8171839
TSGA10,-0.8169467
HNRNPM,-0.81644994
ACAT1,0.8163706
PLD2,0.8163091
DNAH6,-0.81564796
RPL7A,-0.81508327
SCAMP3,-0.8144618
RP2,0.8143413
CKB,0.8140653
IFNAR2,0.8140555
KTN1,0.81395763
MED21,-0.8136592
THOC2,0.81355655
C22orf46,-0.8131623
TRIM13,-0.81257117
ATP5E,-0.81242394
ABCD4,0.81235814
CCDC28A,0.81217384
CARHSP1,-0.812039
PCID2,0.8119658
FIBP,-0.81182796
GLT8D1,-0.8118236
LANCL1,-0.811766
KPNA4,0.8116267
SOX10,-0.8114198
MRPL44,-0.81137085
ITGB6,0.8111279
COLEC11,-0.81062233
KIAA1107,-0.81042516
NAGPA,-0.8101977
SECISBP2L,0.81017387
PEG10,-0.8100033
GPR37,-0.8097842
RRM2,-0.80951035
LIN37,-0.80949485
RAB11FIP2,0.809471
RNF219,0.8092637
HPS5,-0.80914843
TMC5,-0.8089464
BTBD3,-0.8089385
GCKR,0.8087357
GCK,0.80873543
INHBA,0.80863756
CBX6,0.8086373
NELFE,-0.80861425
PSMF1,0.8083867
PTK2,-0.80829823
LINC00115,-0.8080113
MAN2A1,0.80749726
LRPAP1,0.8072998
FANCC,-0.80726016
RTF1,0.80710053
ASXL2,0.8068751
SNRPG,0.8067584
ATP5G1,0.80658096
THSD7A,-0.8063866
IQCK,-0.8058972
POLD3,0.8058812
CCL20,0.80583984
ACBD4,0.8057575
MOB3B,0.8057475
PARD6A,-0.805739
HEMK1,-0.8054555
ACOT11,-0.8051604
URB2,-0.8051263
TNRC6B,-0.80505073
GUSB,-0.80467016
LOC155060,-0.8046198
LPCAT1,-0.80460626
ALDH2,0.80457157
ALG5,0.80442446
PSMD1,0.8042709
BAG6,-0.8034888
LSM3,-0.8034599
TPX2,0.803306
JAM2,0.8032726
MARCH1,-0.8030555
ZMYM1,0.80295634
LARP1,0.8028469
CCNG2,-0.8027586
MAP4K3,0.80247784
HLA-DRB6,-0.8023235
NT5DC2,0.80232173
NDRG2,-0.80213434
PLCB1,-0.801887
OLFM1,0.8018744
MTUS1,0.80183935
TMEM258,-0.80181396
NSL1,0.8017969
AP1M2,-0.8017931
FGD6,0.80175006
FAM193A,0.80131847
NR4A1,0.80125064
SDC3,-0.8011613
KIAA0753,-0.80112624
GPD1L,0.8011071
MS4A2,0.80040914
LAMTOR2,-0.80034614
ETFDH,-0.8003103
ZDHHC13,-0.8003074
PLK3,-0.8001474
SSB,0.8001335
GLB1,0.80007863
FLI1,0.7999096
PLOD1,-0.7993659
VSNL1,0.7992917
FAM57A,0.79922575
FN3KRP,0.799108
KAT2A,-0.79865825
TSSC4,0.7986317
GBX2,-0.7980507
STAR,0.7978621
GRPEL1,0.7977967
KLC2,0.79760957
PTGER3,-0.7972268
RNF128,0.7970129
AOX1,-0.79675245
UMPS,0.79598445
FGFR1OP,-0.7958416
INPP5D,0.7957744
SLC25A37,-0.79563606
UTP11L,0.79554415
RPA3,-0.79550093
CTSH,-0.79540753
PSMD7,0.7951876
KMO,-0.79518116
DDX58,-0.79506415
CLDN1,0.7950444
OAS1,-0.79483104
TBX2,-0.79480195
AKAP12,-0.7946847
NDUFB7,-0.7945628
HIST2H2BE,-0.7942176
HTRA2,0.79362607
BRINP2,0.79350644
TCF21,-0.793502
PTPRZ1,0.7933281
KDELR2,0.7932636
ARFGAP3,-0.7932633
SLC9A1,0.7929841
NOP16,0.7927158
CGRRF1,-0.7924719
DLK2,-0.7924055
TNFRSF4,0.79179865
PRKCB,-0.79172206
LNPEP,-0.7914814
TMEM120B,0.79129934
IRX5,0.7912377
INO80B,0.7909768
CAPN7,0.79084367
TP53BP1,-0.7908354
CIDEC,0.7905086
ARCN1,-0.7904302
SDC4,-0.78994703
C16orf62,-0.7897476
ANAPC1,0.7896948
USP46,0.7896218
LAPTM4B,0.7895386
DNAJB1,-0.78953516
AURKB,0.7895154
INF2,0.7890217
CD248,0.7888104
RPS14,-0.78871
AVPR1A,0.7886645
MAD1L1,0.78851503
KCNG1,-0.78842723
CHM,0.78828084
ADORA2B,0.7882065
DGAT1,-0.78799146
CKMT2,0.7879048
HOXB5,-0.7878467
IL17RC,-0.78765976
CFAP45,-0.7875716
KPTN,-0.7874038
KCTD3,0.78624296
EVPL,0.7860491
GSTM4,-0.7858746
GAGE1,-0.7857171
FAM110B,0.78554404
ZMAT3,0.78522646
MIEF1,0.7849552
NFATC2IP,-0.78486687
PI4KA,-0.7847078
EIF3A,0.7846867
C6,-0.784594
RGS3,-0.7845162
ETV6,0.78410834
PFKM,0.78408265
INPP5J,0.78403485
PKP3,0.78368366
VWF,0.78366446
ADNP2,-0.7835587
FANCA,0.7833735
GRM1,-0.78309715
FBXO9,-0.7829082
SEC61G,-0.7822566
SLC25A16,-0.7822034
LPIN1,-0.7820989
CYP3A5,-0.7819685
PDZRN4,0.78193104
TPK1,0.78188
GALNT2,0.78187656
FEM1B,0.7818586
SLC35A2,-0.78148115
TMEM97,0.78147835
LYN,-0.78130627
FOXK2,0.78122044
ITGA7,0.78121376
FBP1,0.7811638
MAP2K4,0.7808572
NDUFA9,-0.78047717
TCEA2,-0.78009427
FHOD1,0.7800732
TRADD,-0.7800255
DLX5,0.7798202
PON3,-0.7797043
SERPINH1,0.77951515
SPCS1,-0.7794237
NAP1L4,0.7792342
ZBED1,-0.7792098
CHIC2,-0.7791503
SLC1A2,-0.77900964
KMT5A,0.77899456
IREB2,0.7789607
HGF,-0.7789517
SLC33A1,-0.7788272
GABPB1,0.7788073
PDGFC,0.77879196
SLC23A2,-0.7787645
ACO1,0.77872884
PCSK2,0.77872807
SRP72,0.77872384
NDST3,-0.7787206
ANO10,0.7786172
G6PC3,0.7776729
ING1,0.7776528
LEF1,0.777446
RAD1,-0.7769176
APEH,0.77681196
ST3GAL4,-0.7766627
MADD,-0.77653587
STK19,-0.7765
TXNIP,0.77615976
ISG20,0.7756994
SUPT16H,0.77565455
BTG2,0.7755932
TEFM,0.7755921
BCL2L14,0.7755731
ARHGEF9,-0.77547
UCK2,0.7754536
GTF2F2,-0.7753434
CAPRIN2,-0.77514553
SEMA3B,-0.7748754
ITGAV,-0.7748338
PRKX,-0.77481943
DDX39A,0.774723
RASA4,0.77466094
CHEK2,0.7743447
RHOQ,0.77423894
PHKG1,0.77418387
GIPC2,0.77376324
ZNF571,-0.7734416
MEF2D,0.7732778
AGPAT5,0.77324545
ELAVL2,-0.77303946
EIF2B4,0.7730242
PCYT1A,0.7729063
COX6C,-0.7729032
PBLD,-0.772854
TROVE2,-0.77277875
ASCL1,0.77258587
ZC3HAV1,0.7723532
SAP30L,-0.77195966
FZD3,-0.77185327
DCUN1D2,0.771694
SLC46A3,0.77156353
USP14,-0.77135205
RIN1,0.77118295
ASF1B,0.77101743
MN1,0.7706937
GDAP2,0.770646
TBC1D9,0.7705345
MYBPC3,-0.770499
ANKH,-0.77030885
FGFBP1,0.7702842
ICAM4,0.7702234
VPS33A,-0.76982296
ZMIZ1,0.7697054
TSC1,0.7695223
VPS51,-0.76923424
DNAJC16,0.7691624
SKI,0.76881707
EIF3H,-0.76879406
NFAT5,0.76872885
EVC,-0.7684536
BNC2,-0.7683731
MMP15,0.7683219
PRPF38B,-0.7679273
UFSP2,0.7677491
ZC3H7A,-0.7676527
HMGB2,-0.7676419
ZNF3,-0.76752365
SH2B2,0.7672224
RTN2,-0.76715195
NPR2,-0.76696026
GID8,-0.76681364
ERAP2,0.7664735
PPP1R3C,-0.7662029
CLN8,-0.76611257
POLRMT,-0.7658706
VCPKMT,-0.7655502
PRCC,-0.7655147
KIF11,0.765419
TBC1D30,-0.7654073
KLHL22,-0.7650786
GBE1,-0.7649293
C1orf159,0.76479876
TSPAN7,0.764789
ZNF280D,-0.76476634
CTSS,0.76474607
APOBEC3G,-0.76473856
UBE2V2,0.7647182
SND1,0.76456964
CCND1,0.7645273
CD99,-0.76443875
PAWR,0.7644114
NRXN3,-0.76417625
MRFAP1L1,0.7635927
GNG7,0.763572
SNX16,0.763562
CXCR6,-0.76346385
KLKB1,-0.76315176
FTSJ3,0.7631326
LPL,-0.76296675
MAGED1,0.7627287
CYP20A1,-0.76261723
INPPL1,-0.7625475
ZNF266,-0.7623098
KCTD20,-0.7623007
CISH,0.762074
DNAJB5,0.76154363
CAMKV,0.76132226
ARNT,-0.7611164
ARHGEF5,0.76094383
TRPV4,0.76090837
RPL13A,-0.76082194
CRMP1,0.76080763
FBXO41,0.76078844
CASP7,0.7602094
TICAM1,-0.75915325
IMPDH1,0.7590178
RDX,0.75799906
PDCD4,0.75791794
LTBP2,0.7578242
SLC38A1,-0.7577796
R3HCC1,0.7577609
PAM16,-0.75763917
POGZ,0.75750005
F3,-0.7574742
PHC3,-0.75731206
SLC22A17,0.7569164
ULK2,-0.7567638
NLK,0.7567189
PITPNA,0.75667405
UPF1,0.75664324
RUSC2,-0.75653756
SLCO2B1,0.7564361
LRRC40,0.75638926
HSF1,-0.75638837
CD3D,-0.7563492
FLRT1,0.7562957
PXDC1,0.756201
FBXW4P1,-0.75617605
IL18R1,0.75613505
HIVEP1,-0.7560611
TCF7L1,0.7558477
DLG2,0.7558444
PPIB,-0.75541776
UBE2S,0.75504196
APOD,0.75503933
RHEB,0.7548274
PSMB1,0.754534
HMGCR,-0.75452876
PTP4A2,-0.7544096
CHFR,0.7543181
RBBP6,0.75390536
SLC30A1,0.75390184
SOCS2,-0.7537334
HOXA5,-0.75346845
SLC17A5,-0.75332284
INTS7,-0.7529068
EIF6,-0.7528437
FKBP1B,0.7524711
TMEM110,-0.7523387
ZFP37,-0.7522776
AP1G1,-0.75222105
NUDT15,-0.7521585
NOTCH4,-0.7521509
MAP1S,0.7517994
VPS33B,0.751628
EP300,0.7516011
METTL1,-0.7515797
UPF3A,0.75132585
ZKSCAN1,-0.7511816
IL1RL2,0.7511506
ZNF318,-0.7511505
CDC34,-0.75090516
FAM234B,-0.750613
GATA3,-0.75050724
UBE2C,-0.7504746
RBM42,-0.74989426
DIP2A,-0.7497185
BYSL,0.7496567
AK4,0.7496102
GRIK4,0.7495884
DHCR24,0.7495207
STAP1,-0.7495061
CLEC11A,-0.7494911
UBA7,-0.74944025
APPL2,-0.74939907
EXOC2,-0.7492502
GDAP1,0.74918365
SMURF2,-0.74906635
PLGRKT,-0.74888545
ARL8B,0.74875987
HSPB1,0.74796754
SOX21,0.7479159
CLCN3,0.7478328
MED1,0.74774027
DCAF15,0.74767077
SULF1,0.7474983
CYP27B1,0.7471289
GBP2,0.7469405
MRM1,0.7468096
MGST2,0.74669933
SRSF11,0.74663293
MAT2A,0.74621695
SP100,-0.7462155
IL10,0.74616754
PIM2,0.7461227
PPP2R2B,-0.74601
INCENP,0.7459673
SLC47A1,-0.7457698
COTL1,-0.7457546
MPI,0.74567693
PDE3A,-0.7456592
CSNK2B,-0.74562526
CALML3,0.7455964
WDR6,-0.7455816
ATAD2,0.74534386
GRP,0.7452105
B9D2,0.7451463
POLR3D,-0.74513793
PRODH2,-0.7451131
DKK1,-0.7448471
SH3GLB1,0.7445465
DYRK2,0.7445022
PINK1,0.7441884
PLAUR,0.7441201
SCARB2,-0.74388224
CDON,0.7437611
RNF19A,-0.74369365
ZDHHC4,-0.7435716
KIAA1644,-0.7433742
MAPK8IP1,0.7423343
OPA3,0.74231994
P3H1,0.74190587
SEC61A1,-0.7416482
ZNF324,-0.7415923
PIKFYVE,0.7410158
CBX8,-0.74064344
PIR,-0.74058765
GLG1,0.7397715
ACOT8,-0.73969495
MYL12A,-0.73897636
TMEM222,0.73892844
LCK,-0.73846567
PARP11,0.7383899
COL21A1,-0.73833424
MIS18A,0.73827636
ADAMTS2,0.73825
SOD2,0.73809737
SRSF1,0.73802274
CUTC,0.7379148
SLITRK5,-0.73776275
GPD2,0.73704445
TFPT,-0.73686254
ZNF813,0.73673654
IFI44,-0.7367117
SLC4A8,-0.73668325
RNASEH1,0.7365914
PON2,-0.736431
CPSF6,0.73631996
BRD8,-0.7358843
CD1D,0.7357873
MGAT2,0.73567915
CARD10,-0.73548967
TNFSF13,0.7354878
BTN3A3,-0.7354498
SF3A2,0.73501766
FBXL15,-0.73478615
ATP6V1A,0.7345357
PRKCA,-0.73442435
DSE,-0.73429924
PIEZO1,0.73427975
WWC1,0.73424995
TMEM214,0.7337412
BANK1,-0.73366714
DSCR3,0.73356664
EYA2,-0.7331065
C1orf216,-0.7330775
MXRA8,0.73299456
AGO3,-0.7329881
RIOK3,0.73294556
TEX2,0.7329409
DNASE1L3,-0.7324971
SLC39A4,-0.73244363
ITGA5,-0.73235005
FXYD7,0.732346
QPCT,-0.7323347
ITGB1,-0.73197085
MBIP,0.7318938
TLDC1,-0.7318576
SRPRB,0.7318475
NCOA4,-0.7317904
ADGRG2,-0.7315734
KLHL29,-0.7315503
TPT1,-0.73129535
TMED9,-0.73118514
ZMYND11,-0.7310176
NMU,0.73052204
TMEM168,0.73033756
ST13,-0.73032045
BBS4,-0.73013556
TSHZ2,-0.73011017
GARS,0.72938496
ADGRL4,-0.7293789
ARHGDIB,0.7290961
SCAP,0.7288705
MX1,-0.7285179
TPST2,-0.7284746
RARB,0.7282895
GNB1L,0.72823304
GNAI2,-0.7281191
DIAPH1,0.72810376
DDX17,-0.7280038
RGS10,-0.72795916
RPL31,-0.72792375
TEX10,-0.72776926
ZNF175,-0.7276734
GREB1L,0.7274864
